Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2024],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Moeda,3142304,moedense,D&Eacute;CIO VANDERLEI DOS SANTOS,155.112,5125,33.04,5291,100,0.638,-,49376380.93,44391018.77,15529.83,
Moema,3142403,moemense,JOSE GERALDO ANDALECIO COSTA,202.705,7548,37.24,7778,97.18,0.721,-,65697748.02,61597627.16,20110.03,
Monjolos,3142502,monjolense,PAULO ZILLE NETO,650.911,2169,3.33,2196,100,0.650,-,32922803.22,32043192.01,21433.52,
Monsenhor Paulo,3142601,paulense,FLAVIANO AMERICO RIBEIRO,216.540,8340,38.51,8550,99.39,0.721,-,56070135.14,54385055.45,26033.53,
Montalv&acirc;nia,3142700,montalvanense,FREDSON LOPES FRAN&Ccedil;A,1503.755,14060,9.35,14160,99.68,0.613,6.06,71210901.83,72403919.46,11313.56,
Monte Alegre de Minas,3142809,monte-alegrense,RODRIGO DE ALVIM MENDON&Ccedil;A,2595.957,20170,7.77,20666,98.98,0.674,9.95,169178691.87,173489925.6,35500.1,
Monte Azul,3142908,monte-azulense,SAULO GABRIEL ANTUNES FELICIANO,1001.296,20328,20.30,20577,99.63,0.659,29.41,106817500.37,103118492.51,12467.46,
Monte Belo,3143005,monte-belano,KLEBER ANTONIO FERREIRA BONELI,421.283,13046,30.97,13340,98.6,0.688,14.29,74339595.62,77805346.08,27847.63,
Monte Carmelo,3143104,carmelitano,RICARDO FERREIRA,1343.035,47692,35.51,49354,99.04,0.728,1.95,304615263.04,253377982.49,32440.12,
Monte Formoso,3143153,monte formosense,JANIO MIRANDA RAMALHO,385.553,4381,11.36,4449,98.72,0.541,31.25,37445708.18,37173808.43,8919.75,
Monte Santo de Minas,3143203,monte-santense,CARLOS EDUARDO DONNABELLA,594.632,20890,35.13,21301,100,0.710,4.33,107582332.71,98430359.27,22477.33,
Montes Claros,3143302,montes-clarense,GUILHERME AUGUSTO GUIMAR&Atilde;ES DE OLIVEIRA,3589.811,414240,115.39,434321,99.04,0.770,11.43,2118235776.03,2115906582.55,25870.23,
Monte Si&atilde;o,3143401,monte-sionense,MAUR&Iacute;CIO ZUCATO JUNIOR,291.594,24089,82.61,24933,98.95,0.724,12.5,150391128.23,135494136.68,25011.26,
Montezuma,3143450,montesumense,IVAN VIEIRA DE PINHO,1130.419,6888,6.09,6979,100,0.587,-,45403584.54,42247044.42,10868.92,
Morada Nova de Minas,3143500,moradense,HERMANO ALVARES FRANCISCO DE MOURA,2084.275,9067,4.35,9364,98.49,0.696,11.24,105948569.85,104526913.85,60432.26,
Morro da Gar&ccedil;a,3143609,morrense,M&Aacute;RCIO T&Uacute;LIO LEITE ROCHA,414.772,2411,5.81,2438,98.73,0.648,35.71,36670360.55,30109732.12,21156.64,
Morro do Pilar,3143708,morrense,CLERIO LIMA FILHO,477.548,3133,6.56,3174,98.19,0.597,31.25,50871262.1,48026972.35,14113.38,
Munhoz,3143807,munhozense,DORIVAL AMANCIO FROES,191.599,7451,38.90,7857,98.87,0.647,-,49638039.69,45915945.36,21570.92,
Muria&eacute;,3143906,muriaense,MARCOS GUARINO DE OLIVEIRA,841.693,104108,123.69,108161,98.96,0.734,4.85,784880079.13,759532397.33,24137.53,
Mutum,3144003,mutuense,CLAUDINEI CLEMENTE DE FREITAS,1250.824,27635,22.09,28670,99.22,0.644,5.9,120136919.1,122565199.32,18874.87,
Muzambinho,3144102,muzambinhense,PAULO SERGIO MAGALH&Atilde;ES,409.948,21891,53.40,22527,100,0.740,13.33,123037103.01,100095208.35,26091.09,
Nacip Raydan,3144201,nacipense,GEREMIAS CANDIDO DE SOUSA,233.493,2459,10.53,2437,100,0.585,-,32048218.47,29625395.72,11607,
Nanuque,3144300,nanuquense,GILSON COLETA BARBOSA,1518.166,35038,23.08,35554,99.8,0.701,12.5,164953468.65,149045984.87,19924.58,
Naque,3144359,naquense,ROBSON DE SENA MOREIRA,127.173,6303,49.56,6442,100,0.675,-,60371698.47,51979713,12675.74,
Natal&acirc;ndia,3144375,natalandense,PAULO SERGIO LAURINDO MODESTO,468.660,3520,7.51,3626,99.29,0.671,-,41154570.46,38159336.52,22725.11,
Nat&eacute;rcia,3144409,naterciano,GABRIEL TIAGO DE VILAS BOAS,188.719,4691,24.86,4800,99.62,0.693,26.32,41196815.11,34899803.39,24403.15,
Nazareno,3144508,nazarenense,DIEGO FREITAS ALVARENGA,341.453,8179,23.95,8390,99.17,0.690,-,93766367.24,81635841.63,76794.68,
Nepomuceno,3144607,nepomucenense,ELIAS NATAL LIMA DE MENEZES,582.553,25018,42.95,25774,96.84,0.667,13.79,136135280.41,130501969.66,23008.04,
Ninheira,3144656,ninheirense,NODECIR PEREIRA,1108.256,10588,9.55,10915,100,0.556,9.26,34071730.41,40856073.07,12205.08,
Nova Bel&eacute;m,3144672,belenense,VALDECI DORNELAS,146.775,3151,21.47,3156,100,0.592,27.03,59147304.78,54711477.97,27201.82,
Nova Era,3144706,nova-erense,TXAI SILVA COSTA,361.852,17438,48.18,17807,99.42,0.709,10.93,113711444.96,95018274.78,24702.73,
Nova Lima,3144805,nova-limense,JO&Atilde;O MARCELO DIEGUEZ PEREIRA,429.313,111697,260.18,119142,98.9,0.813,12.3,1484697607.4,1582951384.5,216092.4,
Nova M&oacute;dica,3144904,neomodicano,RAPHAEL SOUSA MARTINS,375.973,3663,9.74,3731,100,0.630,-,44731632.97,42047685.21,16530.55,
Nova Ponte,3145000,nova-pontense,JOS&Eacute; DIVINO DA SILVA,1111.011,14598,13.14,15113,99.23,0.701,34.15,148160734.32,143960605.76,69569.06,
Nova Porteirinha,3145059,novaporteirinhense,ELBE FIGUEIREDO BRAND&Atilde;O,120.943,6706,55.45,6780,98.96,0.641,9.8,45260419.71,39864792.51,15515.42,
Nova Resende,3145109,resendense,LUIZ ITAMAR GONZAGA,390.152,16387,42.00,16854,94.82,0.671,8.85,103251714.25,93119334.85,22770.81,
Nova Serrana,3145208,nova-serranense,FABIO JOSE DE OLIVEIRA,282.472,105552,373.67,112910,99.27,0.715,7.77,552671079.17,540766151.32,24352.06,
Novo Cruzeiro,3145307,novo-cruzeirense,VIVIANE BARBOSA PENA,1702.981,26975,15.84,27453,100,0.571,12.82,147199316.28,136693895.24,10544.29,
Novo Oriente de Minas,3145356,novo orientense,NORMANDES DA COSTA JARDIM,755.151,10275,13.61,10501,99.45,0.555,-,60181141.79,52862388.9,11256.56,
Novorizonte,3145372,novorizontino,CLEBER NASCIMENTO DE PINHO,271.610,4571,16.83,4630,99.34,0.616,-,43466282.07,37187638.78,13167.03,
Olaria,3145406,olariense,WALDINEY DOS REIS FERREIRA,178.242,1945,10.91,1986,100,0.636,52.63,35462008.27,34660042.61,18836.72,
Olhos-d'&Aacute;gua,3145455,olhos-d'aguense,RODRIGO VIEIRA DE MATOS,2092.078,5385,2.57,5520,99.54,0.626,28.17,46943348.77,41670615.6,33947.04,
Ol&iacute;mpio Noronha,3145505,ol&iacute;mpio-noroense,CARLOS ALBERTO DE CASTRO  PEREIRA,54.633,2555,46.77,2616,98.87,0.674,-,34848192.89,30208197.49,15528.17,
Oliveira,3145604,oliveirense,ERIK ASSIS CASTRO,897.294,39262,43.76,40552,98.66,0.699,20.13,293774780.56,256486524.79,26318.88,
Oliveira Fortes,3145703,oliveira-fortense,SILMAR JOSE DIAS,111.130,2027,18.24,2062,99.38,0.635,-,32273876.48,27528293.39,19047.02,
On&ccedil;a de Pitangui,3145802,oncense,GUMERCINDO PEREIRA,246.976,2969,12.02,3027,99.29,0.663,-,35649404.43,34063090.07,20575.42,
Orat&oacute;rios,3145851,oratoriense,CARLOS JOSE DE OLIVEIRA,89.068,4917,55.21,5076,100,0.637,25,42567343.88,39218027.42,15170.99,
Oriz&acirc;nia,3145877,orizanense,JONIA LEITE FILHO,121.800,8437,69.27,8759,98.25,0.562,-,48850779.84,48092697.95,14998.7,
Ouro Branco,3145901,ouro-branquense,SAVIO RODRIGUES FONTES,258.726,38724,149.67,40411,99.86,0.764,10.04,357588172.8,330014265.44,219860,
Ouro Fino,3146008,ouro-finense,ANT&Ocirc;NIO BENEDITO SALGUEIRO MIGUEL,533.714,32094,60.13,33227,98.29,0.722,10.1,171091116.31,154603178.27,27526.34,
Ouro Preto,3146107,ouro-pretano,ANGELO OSWALDO DE ARAUJO SANTOS,1245.865,74821,60.06,77601,99.35,0.741,12.95,917790617.1,888480614.4,127232.37,
Ouro Verde de Minas,3146206,ouro-verdense,MARCELO ADRIANO XAVIER DE VASCONCELOS,175.482,5757,32.81,5858,99.02,0.595,33.71,56697158.96,61725522.79,11503.59,
Padre Carvalho,3146255,padre carvaliense,SAMIA FERES GOMES DE MEDEIROS,446.275,5058,11.33,5085,99.53,0.599,-,38420495.4,39021268.79,8999.72,
Padre Para&iacute;so,3146305,padre-paraisense,DIEGO FERDINANDO MENDES OLIVEIRA,544.375,17334,31.84,17537,98.77,0.596,8.81,108267299.15,99633897.78,10514.08,
Paineiras,3146404,paineirense,OSMAN DE CASTRO MENEZES,637.309,4224,6.63,4273,100,0.669,-,39983884.43,74478257.03,18654.32,
Pains,3146503,painense,ITAMAR RAFAEL DE CASTRO,421.862,8142,19.30,8341,100,0.728,51.72,93173066.78,80981054.34,63965.84,
Pai Pedro,3146552,paipedrense,JOAQUIM RODRIGUES J&Uacute;NIOR,839.805,5551,6.61,5634,99.85,0.590,20.83,42027511.81,37243211.14,9617.09,
Paiva,3146602,paivense,BRUNO VIEIRA DE PAULA,58.419,1474,25.23,1498,100,0.720,-,31266684,26982950.78,17996.58,
Palma,3146701,palmense,JOSIMAR DA SILVA RODRIGUES,316.476,5707,18.03,5742,99.2,0.703,-,39892726.05,35924222.31,15693.82,
Palm&oacute;polis,3146750,palmopolense,LEANDRO PINTO ROCHA,433.154,6301,14.55,6373,99.54,0.565,16.13,38310548.85,35564293.58,12292.83,
Papagaios,3146909,papagaiense,RISLAINE DE FARIA CAN&Ccedil;ADO,553.577,13920,25.15,14207,98.85,0.666,4.48,110663028.65,76613142.2,23511.04,
Paracatu,3147006,paracatuense,IGOR PEREIRA DOS SANTOS,8231.029,94023,11.42,98397,98.52,0.744,15.95,851977337.22,798236246.05,76144.41,
Par&aacute; de Minas,3147105,par&aacute;-minense,IN&Aacute;CIO FRANCO,551.247,97139,176.22,102033,98.82,0.725,6.87,596026167.66,598169512.01,42098.58,
Paragua&ccedil;u,3147204,paragua&ccedil;uense,GABRIEL PEREIRA DE MORAES FILHO,424.296,21723,51.20,22357,99.54,0.715,8.7,112847185.39,100911472.28,29998.34,
Parais&oacute;polis,3147303,paraisopolense,EVERTON DE ASSIS FERREIRA,331.238,20445,61.72,21005,100,0.729,18.1,107163149.31,90564155.07,27752.05,
Paraopeba,3147402,paraopebense,AROLDO COSTA MELO,625.631,24107,38.53,24800,98.41,0.694,6.56,134202783.84,176060385.69,36955.29,
Passab&eacute;m,3147501,passabenense,LUCIANO DE S&Aacute; MADUREIRA,94.183,1600,16.99,1617,100,0.642,-,29241485.43,27027696.89,14574,
Passa Quatro,3147600,passa-quatrense,MARCIO HENRIQUE DE SIQUEIRA RIBEIRO,277.221,15515,55.97,15842,99.05,0.715,22.6,88190540.15,84209688.64,28737.93,
Passa Tempo,3147709,passa-tempense,JUSCELINO ROCHA,429.172,8473,19.74,8696,98.75,0.687,-,70175854.86,59370084.49,59808.53,
Passa Vinte,3147808,passa-vintense,EDSON DO NASCIMENTO,246.565,2233,9.06,2301,99.13,0.648,-,39542802.57,37382046.22,20794.2,
Passos,3147907,passense,DIEGO RODRIGO DE OLIVEIRA,1338.070,111939,83.66,116530,99.4,0.756,9.46,592527592.75,590725156.25,26081.82,
Patis,3147956,patiense,ELIVALDO VERSIANI SOUZA,444.196,4837,10.89,4863,99.5,0.614,-,41341538.96,41732403.22,9122.53,
Patos de Minas,3148004,patense,LU&Iacute;S EDUARDO FALC&Atilde;O FERREIRA,3190.456,159235,49.91,167870,99.19,0.765,12.2,962832046.95,988304222.6,39738.04,
Patroc&iacute;nio,3148103,patrocinense,GUSTAVO TAMBELINI BRASILEIRO,2874.344,89826,31.25,93852,98.76,0.729,11.66,674233234.01,628437646.56,39932.3,
Patroc&iacute;nio do Muria&eacute;,3148202,patrocinense,GOLDSTEIN AGOSTINI DA MATTA,108.246,5576,51.51,5735,99.4,0.682,-,35714465.12,32449290.44,20206.33,
Paula C&acirc;ndido,3148301,paula-candense,EVERALDO ROBERTO DA CONCEI&Ccedil;&Atilde;O,268.321,8659,32.27,8786,99.48,0.637,13.89,44042579.66,39373983.12,14255.97,
Paulistas,3148400,paulistano,ARNALDO SOARES PASCOAL,220.564,4389,19.90,4429,98.88,0.625,-,36043994.7,31641704.43,14048.81,
Pav&atilde;o,3148509,pavoense,JANE CARLA PEREIRA DA ROCHA,601.190,8047,13.39,8168,98.11,0.627,13.89,44840562.95,41989944.95,11093.87,
Pe&ccedil;anha,3148608,pe&ccedil;anhense,FABRICIO DAYRELL OLIVEIRA ALVARENGA,996.646,17446,17.50,17843,99.54,0.627,22.6,100436060.7,92163779.89,15407.09,
Pedra Azul,3148707,pedra-azulense,MARCIO FERREIRA SOUTO,1594.651,24410,15.31,24999,96.08,0.627,15,128121748.5,113127423.83,16498.08,
Pedra Bonita,3148756,pedrabonitense,PEDRO RUBENS VITOR DE OLIVEIRA,173.928,7320,42.09,7559,98.65,0.573,8.13,42405731.9,41187661.42,13480.12,
Pedra do Anta,3148806,antense,EDUARDO JOSE VIANA,173.168,3311,19.12,3371,100,0.624,-,35484117,31284795.13,19502.49,
Pedra do Indai&aacute;,3148905,indaiaense,MATEUS MARCIANO DOS SANTOS,347.920,4112,11.82,4232,99.07,0.708,-,39339385.58,35976603.8,29206.43,
Pedra Dourada,3149002,douradense,FAGNER FERREIRA VEIGA,69.990,2757,39.39,2883,97.77,0.655,-,33479511.93,30807426.29,16527.2,
Pedralva,3149101,pedralvense,JOEL SILVA,217.989,10760,49.36,10924,99.64,0.675,-,55274785.55,48753853.37,16460.4,
Pedras de Maria da Cruz,3149150,pedrense,HEIDER DA SILVA MENDES,1525.648,10433,6.84,10619,97.67,0.614,-,60513353.42,56456842.09,8900.37,
Pedrin&oacute;polis,3149200,pedrinopolense,RAFAEL FERREIRA SILVA,357.891,3344,9.34,3404,100,0.729,-,48733818.34,47394073.25,55906.67,
Pedro Leopoldo,3149309,pedro-leopoldense,EMILIANO BRAGA DOS SANTOS,292.810,62580,213.71,64910,98.54,0.757,9.02,345783581.51,321540737.5,29763.4,
Pedro Teixeira,3149408,pedro-teixeirense,REINALDO MANOEL DE OLIVEIRA,112.959,1810,16.02,1854,100,0.637,-,35741340.95,27480555.19,16778.21,
Pequeri,3149507,pequeriense,GLAUCO BRAGA FAVERO,90.833,3351,36.89,3448,100,0.694,-,37959415.93,32228007.23,18724.66,
Pequi,3149606,pequiense,ANDRE LUIZ MELGA&Ccedil;O TAVARES,203.991,4155,20.37,4258,100,0.674,-,64086150.97,73731927.49,19184.76,
Perdig&atilde;o,3149705,perdiguense,JULLIANO LACERDA LINO,249.322,12268,49.21,12925,98.85,0.703,-,78582453.91,77668496.58,18941.95,
Perdizes,3149804,perdizense,FERNANDO MARANGONI,2451.112,17151,7.00,17830,99.23,0.723,14.18,206574466.34,158216085.36,98918.71,
Perd&otilde;es,3149903,perdoense,GUILHERME PEREIRA FREITAS,270.657,21384,79.01,21991,98.57,0.744,20.62,115927608.91,119555630.79,29060.6,
Periquito,3149952,periquitense,JOSE DE OLIVEIRA FLOR,228.907,6553,28.63,6647,99.27,0.651,44.64,63033778.95,65796870.99,16574.4,
Pescador,3150000,pescadorense,GERALDO ANASTACIO JARDIM,317.463,3570,11.25,3587,99.29,0.656,23.81,34536553.53,30617978.94,11054.09,
Piau,3150109,piauense,WANDERLUCIO DE CASTRO LOURES,192.196,2796,14.55,2854,100,0.629,-,32929832.11,30387622.69,34082.97,
Piedade de Caratinga,3150158,piedade-caratinguense,ADOLFO BENTO NETO,109.345,8529,78.00,8883,98.26,0.612,7.87,45456930.27,41118028.26,15939.53,
Piedade de Ponte Nova,3150208,piedadense,GERALDO NOBRE NETO,83.733,3976,47.48,4056,96.21,0.639,-,39219354.63,34902677.38,15149.65,
Piedade do Rio Grande,3150307,piedadense,DANIELLE MARTINS,322.814,4604,14.26,4697,100,0.678,-,35631218.05,31556982.64,24887.48,
Piedade dos Gerais,3150406,piedadense,DANIEL MAUR&Iacute;CIO REIS,259.638,5019,19.33,5175,100,0.626,-,40437882.22,36057508.41,17842.82,
Pimenta,3150505,pimentense,GEOVANIO GUALBERTO MACEDO,414.969,8563,20.64,8794,100,0.686,12.82,65620449.9,64004263.62,32326.06,
Pingo-d'&Aacute;gua,3150539,pingodaguense,ARTUR CARLOS DA SILVA,66.570,4706,70.69,4845,99.4,0.619,-,42413183.33,42054835.6,10483.1,
Pint&oacute;polis,3150570,pintopolense,ELTON CARLOS JOSE DE SOUZA,1228.736,7084,5.77,7231,99.1,0.594,10.64,50070317.06,47284899.67,9445.44,
Piracema,3150604,piracemense,WESLEY DINIZ,280.335,6700,23.90,6884,99.43,0.646,16.95,57107203.28,54441600.84,47478.8,
Pirajuba,3150703,pirajubense,AIRTON ALVES,337.980,5537,16.38,5762,98.62,0.723,-,61280160.37,56635179.41,62212.95,
Piranga,3150802,piranguense,LUIS HELV&Eacute;CIO SILVA ARA&Uacute;JO,658.812,17018,25.83,17360,99.5,0.600,7.04,85578203.51,81531826.06,11347.31,
Pirangu&ccedil;u,3150901,pirangu&ccedil;uense,ANILSO LELIO DA SILVA,203.619,6041,29.67,6271,99.14,0.685,-,38102785.46,37824915.03,14238.45,
Piranguinho,3151008,piranguinhense,PAULO RENATO GERMINIANI RIBEIRO,124.803,9120,73.08,9451,98.3,0.717,33.71,49896926.94,47225223.51,15671.86,
Pirapetinga,3151107,pirapetinguense,LUIZ HENRIQUE PEREIRA DA COSTA,190.681,11077,58.09,11408,98.6,0.709,6.99,77702562.58,67831862.44,59224.34,
Pirapora,3151206,piraporense,ALEXANDRO COSTA CESAR,549.514,55606,101.19,57543,99.2,0.731,14.12,391945960.31,402235833.4,50580.69,
Pira&uacute;ba,3151305,piraubano,ANDRE LUIS SALGADO XAVIER,144.289,11610,80.46,11958,95.25,0.684,17.39,57409458.64,51598512.67,18697.86,
Pitangui,3151404,pitanguense,MARIA LUCIA CARDOSO,569.636,26685,46.85,27734,98.31,0.725,12.23,134618204.1,120446678.87,26073.15,
Piumhi,3151503,piuiense,PAULO C&Eacute;SAR VAZ,902.468,36062,39.96,37742,99.36,0.737,6.93,206976348.42,186803731.84,36452.59,
Planura,3151602,planurense,ANT&Ocirc;NIO LUIZ BOTELHO,317.520,11145,35.10,11484,98.08,0.712,-,88192538.98,76706427.84,46149.3,
Po&ccedil;o Fundo,3151701,po&ccedil;o-fundense,ROSIEL DE LIMA,474.244,16390,34.56,16791,98.7,0.691,6.37,123014305.05,120568320.06,23897.47,
Po&ccedil;os de Caldas,3151800,po&ccedil;os-caldense,PAULO NEY DE CASTRO JUNIOR,546.958,163742,299.37,171533,98.93,0.779,10.68,1310570951.09,1288782519.38,50234.29,
Pocrane,3151909,pocranense,EDERSON DOMINGOS DIONIS,691.066,8350,12.08,8468,100,0.626,33.33,45465548.07,46164290.13,14686.18,
Pomp&eacute;u,3152006,pompeano,KENEDY WALLAFY SOUZA DE OLIVEIRA,2551.074,31047,12.17,32305,97.56,0.689,30.23,183517048.07,190365413.31,36287.11,
Ponte Nova,3152105,ponte-novense,MILTON TEODORO IRIAS JUNIOR,470.643,57776,122.76,59569,99.05,0.717,10.95,409299773.56,409824650.33,35748.11,
Ponto Chique,3152131,ponto chiquense,GERALDO MAGELA FLAVIO RABELO,602.799,3747,6.22,3807,100,0.606,-,39439141.28,34022399.62,12096.62,
Ponto dos Volantes,3152170,ponto volantense,C&Acirc;NDIDO FERRAZ ALVES,1212.413,10883,8.98,11077,99.27,0.595,22.22,63798304.16,60127727.58,10016.81,
Porteirinha,3152204,porteirinhense,SILVANEI BATISTA SANTOS,1749.683,37438,21.40,38668,99.72,0.651,13.79,172717404.12,166079176.05,13931.71,
Porto Firme,3152303,porto-firmense,RENATO SANTANA SARAIVA,284.777,10569,37.11,10825,98.93,0.634,-,51668795.51,46870229.86,11411.12,
Pot&eacute;,3152402,poteense,MARIO SERGIO SANTOS,625.111,13666,21.86,13751,99.55,0.624,5.75,81892496.87,82399133.37,10122.67,
Pouso Alegre,3152501,pouso-alegrense,JOSE DIMAS DA SILVA FONSECA,542.797,152217,280.43,160751,99.01,0.774,9.01,1261935616.85,1251655833.09,69478.81,
Pouso Alto,3152600,pouso-altense,RAULYSSON MAGELLA MANCILHA J&Uacute;NIOR,263.034,6566,24.96,6755,98.8,0.710,31.75,45491783.5,37879921.99,47333.42,
Prados,3152709,pradense,RILDO COSTA,264.115,9048,34.26,9327,96.48,0.689,12.2,49102644.68,42508115.04,25109.69,
Prata,3152808,pratense,MARCEL VIEIRA RODRIGUES DA CUNHA,4847.544,28342,5.85,29578,99.3,0.695,14.45,193301523.39,172193115.95,45907.1,
Prat&aacute;polis,3152907,pratapolense,EVERILSON CLEBER LEITE,215.516,8406,39.00,8551,100,0.729,12.35,54890239.18,53999321.51,26805.27,
Pratinha,3153004,pratinhense,WELLINGTON JOS&Eacute; CARNEIRO,622.478,3559,5.72,3673,100,0.721,25,43831673,44711782.47,42299.41,
Presidente Bernardes,3153103,bernardense,JAZON HAROLDO SILVA ALMEIDA,236.798,4850,20.48,4883,100,0.632,-,43696515.89,37261614.94,12740.53,
Presidente Juscelino,3153202,juscelinense,BRENO CORREA CASTRO,695.882,3465,4.98,3493,99.14,0.614,-,37492373.06,33670657.91,13744.52,
Presidente Kubitschek,3153301,kubitschekense,OSVALDINO REIS DA SILVA,189.235,3071,16.23,3154,100,0.595,45.45,35052526.74,32761789.83,12064.56,
Presidente Oleg&aacute;rio,3153400,olegariense,RHENYS DA SILVA CAMBRAIA,3503.848,18765,5.36,19177,98.33,0.701,-,132342838.52,128688027.18,37169.17,
Alto Jequitib&aacute;,3153509,jequitibaense,DANIEL GUIMAR&Atilde;ES SATHLER,152.272,8397,55.14,8596,95.33,0.660,8.06,46085864.77,42625132.31,15158.56,
Prudente de Morais,3153608,prudentino,JOCIMAR CESAR BRAND&Atilde;O,124.189,11466,92.33,11940,99.79,0.690,9.09,71309979.27,61674256.09,18583.47,
Quartel Geral,3153707,quartelense,GASPAR CARLOS FILHO,556.436,3179,5.71,3237,100,0.683,25.64,41746242.26,39059100.29,21546.08,
Queluzito,3153806,queluzitano,DANILO RODRIGUES DE ALBUQUERQUE,153.560,1770,11.53,1800,100,0.682,-,38292780.3,34899235.57,20557.6,
Raposos,3153905,raposense,GUILHERME HENRIQUE ALVES BITENCOURT,72.228,16279,225.38,16735,99.77,0.730,11.56,66991560.15,78689086.74,11738.63,
Raul Soares,3154002,raul-soarense,S&Iacute;LVIO CL&Aacute;UDIO SILVEIRA,763.364,23423,30.68,23882,99.32,0.655,9.26,119491295.99,106346641.45,17893.53,
Recreio,3154101,recreiense ou recreense,LEANDRO FERREIRA MEDEIROS,234.296,11007,46.98,11337,98.9,0.692,-,59047697.48,59688602.46,11720.36,
Reduto,3154150,redutense,CINTIA DE MATOS MESQUITA,151.859,7848,51.68,8170,98.82,0.629,10.53,45128186,35631963.44,16727.6,
Resende Costa,3154200,resende-costense,LUCAS PAULO DE ASSIS VALE,618.312,11230,18.16,11520,99.59,0.685,16.95,76633943.57,64330417.01,17924.97,
Resplendor,3154309,resplendorense,NEMIAS MARTINS DE SOUZA,1081.796,17226,15.92,17612,100,0.670,13.22,100860161.05,102156212.88,15972.45,
Ressaquinha,3154408,ressaquinhense,NASSER LEANDRO FERES BARBOSA,183.062,4548,24.84,4641,98.34,0.683,45.45,51948312.96,41670105.67,77296.87,
Riachinho,3154457,riachiense,NEIZON REZENDE DA SILVA,1719.266,6863,3.99,6890,100,0.632,-,50242904.13,46051197.48,19338.76,
Riacho dos Machados,3154507,riachense,RICARDO DA SILVA PAZ,1315.540,8756,6.66,8886,100,0.627,9.09,68612702.38,58897207.87,56250.5,
